RowKey,<url><lastIndexUpdate><token>,big datawww.cetax.com.br/o-que-e-big-data36627.401
CF_Data,token,big data
CF_Data,title,O que e big data
CF_Data,tokenSearchResult,Saiba tudo sobre Big Data. Baixe Nossos Artigos Cursos etc.
CF_Data,URL,www.cetax.com.br/o-que-e-big-data
CF_Meta,termFrequency,0.3480817114
CF_Meta,lastTokenUpdate,05/10/2000 10:46:16
CF_Meta,documentFrequency,0.2468057744
CF_Meta,createdItemDate,09/10/2012 08:29:37
CF_Meta,lastIndexDate,11/04/2000 09:37:26
CF_Rank,pageRank,0.9308190823
CF_Rank,domainRank,0.8303289409
CF_Rank,lastRankGenerationDate,06/01/2003 10:58:22
